[24 Sep 2020 09:36:57.887]  |void clearFilesTask() Method successfully executed within 10 milisecond.
[24 Sep 2020 09:37:02.466]  |void terminationLogic() Method successfully executed within 221 milisecond.
[24 Sep 2020 09:37:07.962]  |void unloadMenu() Method from mouseClicked[BugPanel.java:234] called with [] at 2020-09-24 09:37:07.962
[24 Sep 2020 09:37:07.962]  |void unloadMenu() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:07.962]  |void unloadBugs() Method from mouseClicked[BugPanel.java:235] called with [] at 2020-09-24 09:37:07.962
[24 Sep 2020 09:37:07.962]  |void unloadBugs() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:07.962]  |void loadNewBug() Method from mouseClicked[BugPanel.java:236] called with [] at 2020-09-24 09:37:07.962
[24 Sep 2020 09:37:08.301]  |void loadNewBug() Method successfully executed within 339 milisecond.
[24 Sep 2020 09:37:17.403]  |boolean validateBug() Method from actionPerformed[BugPanel.java:343] called with [] at 2020-09-24 09:37:17.402
[24 Sep 2020 09:37:17.404]  |boolean validateBug() Method successfully executed within 2 milisecond and returned  false.
[24 Sep 2020 09:37:23.917]  |boolean validateBug() Method from actionPerformed[BugPanel.java:343] called with [] at 2020-09-24 09:37:23.917
[24 Sep 2020 09:37:23.918]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [Validation Failed, error, Description cannot contain : or ->, Ok, I understood, ] at 2020-09-24 09:37:23.918
[24 Sep 2020 09:37:23.958]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 40 milisecond.
[24 Sep 2020 09:37:23.958]  |boolean validateBug() Method successfully executed within 41 milisecond and returned  false.
[24 Sep 2020 09:37:49.496]  |void initAppProperty(JSONObject JSONObj) Method from initialize[SharedResources.java:54] called with [null] at 2020-09-24 09:37:49.446
[24 Sep 2020 09:37:49.586]  |void initAppProperty(JSONObject JSONObj) Method successfully executed within 130 milisecond.
[24 Sep 2020 09:37:49.586]  |void launch() Method from <init>[Application.java:69] called with [] at 2020-09-24 09:37:49.586
[24 Sep 2020 09:37:49.596]  |	 boolean IsEmpty(String Path) Method from launch[Application.java:92] called with [<User Directory>\Resources\<Username>\Temp\320617908] at 2020-09-24 09:37:49.596
[24 Sep 2020 09:37:49.596]  |	 boolean IsEmpty(String Path) Method successfully executed within 0 milisecond and returned  true.
[24 Sep 2020 09:37:49.622]  |	 void SensorGUIInit() Method from <init>[SensorGUI.java:85] called with [] at 2020-09-24 09:37:49.622
[24 Sep 2020 09:37:49.942]  |	 void SensorGUIInit() Method successfully executed within 320 milisecond.
[24 Sep 2020 09:37:49.962]  |void launch() Method successfully executed within 366 milisecond.
[24 Sep 2020 09:37:49.962]  |void clearFilesTask() Method from run[Application.java:137] called with [] at 2020-09-24 09:37:49.962
[24 Sep 2020 09:37:49.962]  |	 void removeTempFiles(File dir,long min) Method from clearFilesTask[Library.java:799] called with [<User Directory>\Resources\<Username>\Temp\320617908, 30] at 2020-09-24 09:37:49.962
[24 Sep 2020 09:37:49.972]  |	 void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:49.972]  |	 void removeTempFiles(File dir,long min) Method from clearFilesTask[Library.java:799] called with [<User Directory>\Resources\<Username>\Temp\ExtractedImages, 30] at 2020-09-24 09:37:49.972
[24 Sep 2020 09:37:49.972]  |	 void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:49.982]  |void clearFilesTask() Method successfully executed within 20 milisecond.
[24 Sep 2020 09:37:54.605]  |void ActionGUIInit(List tabs) Method from <init>[ActionGUI.java:74] called with [[Bug]] at 2020-09-24 09:37:54.605
[24 Sep 2020 09:37:54.675]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method from <init>[BugPanel.java:95] called with [javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@5b6a19d5,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]] at 2020-09-24 09:37:54.675
[24 Sep 2020 09:37:54.675]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:54.675]  |	 void stateChanged(ChangeEvent arg0) Method from fireStateChanged[null:-1] called with [javax.swing.event.ChangeEvent[source=javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@5b6a19d5,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]]] at 2020-09-24 09:37:54.675
[24 Sep 2020 09:37:54.675]  |	 	 void loadMenu() Method from stateChanged[ActionGUI.java:561] called with [] at 2020-09-24 09:37:54.675
[24 Sep 2020 09:37:54.735]  |	 	 	 void setPlaceholder(String s) Method from loadMenu[BugPanel.java:169] called with [ Search...] at 2020-09-24 09:37:54.735
[24 Sep 2020 09:37:54.735]  |	 	 	 void setPlaceholder(String s) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:54.964]  |	 	 void loadMenu() Method successfully executed within 289 milisecond.
[24 Sep 2020 09:37:54.964]  |	 	 void loadBugs() Method from stateChanged[ActionGUI.java:562] called with [] at 2020-09-24 09:37:54.964
[24 Sep 2020 09:37:54.974]  |	 	 	 void showIssues(String state) Method from loadBugs[BugPanel.java:730] called with [all] at 2020-09-24 09:37:54.974
[24 Sep 2020 09:37:54.974]  |	 	 	 void showIssues(String state) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:54.974]  |	 	 void loadBugs() Method successfully executed within 10 milisecond.
[24 Sep 2020 09:37:54.974]  |	 void stateChanged(ChangeEvent arg0) Method successfully executed within 299 milisecond.
[24 Sep 2020 09:37:55.014]  |void ActionGUIInit(List tabs) Method successfully executed within 409 milisecond.
[24 Sep 2020 09:37:55.124]  |void setText(String text) Method from <init>[ToastMsg.java:29] called with [Please wait] at 2020-09-24 09:37:55.124
[24 Sep 2020 09:37:55.124]  |	 void setEndLocation(int x,int y) Method from setText[ToastMsg.java:37] called with [0, 0] at 2020-09-24 09:37:55.124
[24 Sep 2020 09:37:55.124]  |	 void setEndLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:55.134]  |void setText(String text) Method successfully executed within 10 milisecond.
[24 Sep 2020 09:37:55.134]  |void setLocation(int x,int y) Method from run[BugPanel.java:749] called with [908, 439] at 2020-09-24 09:37:55.134
[24 Sep 2020 09:37:55.134]  |void setLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:55.134]  |void showToast() Method from run[BugPanel.java:750] called with [] at 2020-09-24 09:37:55.134
[24 Sep 2020 09:37:55.134]  |void showToast() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:55.144]  |StringBuilder HttpGet(String URL) Method from run[BugPanel.java:752] called with [https://api.github.com/repos/souvik-sarkar-98/CaptureEasy/issues?state=all] at 2020-09-24 09:37:55.144
[24 Sep 2020 09:37:55.154]  |	 void terminationLogic() Method from run[ToastMsg.java:94] called with [] at 2020-09-24 09:37:55.154
[24 Sep 2020 09:37:55.318]  |	 StringBuilder HttpGet(String URL) Method successfully executed within 164 milisecond and returned  .
[24 Sep 2020 09:37:55.318]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [ERROR, error, org.json.JSONException Occured. Please try again.

If still not resolved then 'Report a Bug' from Feature Menu., Ok, I understood, ] at 2020-09-24 09:37:55.318
[24 Sep 2020 09:37:55.368]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 50 milisecond.
[24 Sep 2020 09:37:55.468]  |void terminationLogic() Method successfully executed within 324 milisecond.
[24 Sep 2020 09:37:58.601]  |void unloadMenu() Method from mouseClicked[BugPanel.java:234] called with [] at 2020-09-24 09:37:58.601
[24 Sep 2020 09:37:58.601]  |void unloadMenu() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:58.601]  |void unloadBugs() Method from mouseClicked[BugPanel.java:235] called with [] at 2020-09-24 09:37:58.601
[24 Sep 2020 09:37:58.601]  |void unloadBugs() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:58.601]  |void loadNewBug() Method from mouseClicked[BugPanel.java:236] called with [] at 2020-09-24 09:37:58.601
[24 Sep 2020 09:37:58.860]  |void loadNewBug() Method successfully executed within 259 milisecond.
[24 Sep 2020 09:38:05.769]  |boolean validateBug() Method from actionPerformed[BugPanel.java:343] called with [] at 2020-09-24 09:38:05.769
[24 Sep 2020 09:38:05.770]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [Validation Failed, error, Description cannot contain ':' or '->', Ok, I understood, ] at 2020-09-24 09:38:05.77
[24 Sep 2020 09:38:05.860]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 90 milisecond.
[24 Sep 2020 09:38:05.860]  |boolean validateBug() Method successfully executed within 91 milisecond and returned  false.
[24 Sep 2020 09:40:05.750]  |void initAppProperty(JSONObject JSONObj) Method from initialize[SharedResources.java:54] called with [null] at 2020-09-24 09:40:05.71
[24 Sep 2020 09:40:05.840]  |void initAppProperty(JSONObject JSONObj) Method successfully executed within 120 milisecond.
[24 Sep 2020 09:40:05.840]  |void launch() Method from <init>[Application.java:69] called with [] at 2020-09-24 09:40:05.84
[24 Sep 2020 09:40:05.850]  |	 boolean IsEmpty(String Path) Method from launch[Application.java:92] called with [<User Directory>\Resources\<Username>\Temp\320617908] at 2020-09-24 09:40:05.85
[24 Sep 2020 09:40:05.850]  |	 boolean IsEmpty(String Path) Method successfully executed within 0 milisecond and returned  true.
[24 Sep 2020 09:40:05.871]  |	 void SensorGUIInit() Method from <init>[SensorGUI.java:85] called with [] at 2020-09-24 09:40:05.871
[24 Sep 2020 09:40:06.191]  |	 void SensorGUIInit() Method successfully executed within 320 milisecond.
[24 Sep 2020 09:40:06.211]  |void launch() Method successfully executed within 371 milisecond.
[24 Sep 2020 09:40:06.221]  |void clearFilesTask() Method from run[Application.java:137] called with [] at 2020-09-24 09:40:06.221
[24 Sep 2020 09:40:06.221]  |	 void removeTempFiles(File dir,long min) Method from clearFilesTask[Library.java:799] called with [<User Directory>\Resources\<Username>\Temp\320617908, 30] at 2020-09-24 09:40:06.221
[24 Sep 2020 09:40:06.221]  |	 void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:06.221]  |	 void removeTempFiles(File dir,long min) Method from clearFilesTask[Library.java:799] called with [<User Directory>\Resources\<Username>\Temp\ExtractedImages, 30] at 2020-09-24 09:40:06.221
[24 Sep 2020 09:40:06.221]  |	 void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:06.231]  |void clearFilesTask() Method successfully executed within 10 milisecond.
[24 Sep 2020 09:40:11.093]  |void ActionGUIInit(List tabs) Method from <init>[ActionGUI.java:74] called with [[Bug]] at 2020-09-24 09:40:11.093
[24 Sep 2020 09:40:11.202]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method from <init>[BugPanel.java:95] called with [javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@41672f91,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]] at 2020-09-24 09:40:11.202
[24 Sep 2020 09:40:11.202]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:11.202]  |	 void stateChanged(ChangeEvent arg0) Method from fireStateChanged[null:-1] called with [javax.swing.event.ChangeEvent[source=javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@41672f91,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]]] at 2020-09-24 09:40:11.202
[24 Sep 2020 09:40:11.202]  |	 	 void loadMenu() Method from stateChanged[ActionGUI.java:561] called with [] at 2020-09-24 09:40:11.202
[24 Sep 2020 09:40:11.272]  |	 	 	 void setPlaceholder(String s) Method from loadMenu[BugPanel.java:169] called with [ Search...] at 2020-09-24 09:40:11.272
[24 Sep 2020 09:40:11.272]  |	 	 	 void setPlaceholder(String s) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:11.502]  |	 	 void loadMenu() Method successfully executed within 300 milisecond.
[24 Sep 2020 09:40:11.502]  |	 	 void loadBugs() Method from stateChanged[ActionGUI.java:562] called with [] at 2020-09-24 09:40:11.502
[24 Sep 2020 09:40:11.522]  |	 	 	 void showIssues(String state) Method from loadBugs[BugPanel.java:730] called with [all] at 2020-09-24 09:40:11.522
[24 Sep 2020 09:40:11.522]  |	 	 	 void showIssues(String state) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:11.522]  |	 	 void loadBugs() Method successfully executed within 20 milisecond.
[24 Sep 2020 09:40:11.522]  |	 void stateChanged(ChangeEvent arg0) Method successfully executed within 320 milisecond.
[24 Sep 2020 09:40:11.552]  |void ActionGUIInit(List tabs) Method successfully executed within 459 milisecond.
[24 Sep 2020 09:40:11.762]  |void setText(String text) Method from <init>[ToastMsg.java:29] called with [Please wait] at 2020-09-24 09:40:11.762
[24 Sep 2020 09:40:11.772]  |	 void setEndLocation(int x,int y) Method from setText[ToastMsg.java:37] called with [0, 0] at 2020-09-24 09:40:11.762
[24 Sep 2020 09:40:11.772]  |	 void setEndLocation(int x,int y) Method successfully executed within 10 milisecond.
[24 Sep 2020 09:40:11.772]  |void setText(String text) Method successfully executed within 10 milisecond.
[24 Sep 2020 09:40:11.772]  |void setLocation(int x,int y) Method from run[BugPanel.java:749] called with [908, 439] at 2020-09-24 09:40:11.772
[24 Sep 2020 09:40:11.782]  |void setLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:11.782]  |void showToast() Method from run[BugPanel.java:750] called with [] at 2020-09-24 09:40:11.782
[24 Sep 2020 09:40:11.782]  |void showToast() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:11.782]  |StringBuilder HttpGet(String URL) Method from run[BugPanel.java:752] called with [https://api.github.com/repos/souvik-sarkar-98/CaptureEasy/issues?state=all] at 2020-09-24 09:40:11.782
[24 Sep 2020 09:40:11.792]  |	 void terminationLogic() Method from run[ToastMsg.java:94] called with [] at 2020-09-24 09:40:11.792
[24 Sep 2020 09:40:11.949]  |	 StringBuilder HttpGet(String URL) Method successfully executed within 157 milisecond and returned  .
[24 Sep 2020 09:40:11.950]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [ERROR, error, org.json.JSONException Occured. Please try again.

If still not resolved then 'Report a Bug' from Feature Menu., Ok, I understood, ] at 2020-09-24 09:40:11.95
[24 Sep 2020 09:40:11.990]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 40 milisecond.
[24 Sep 2020 09:40:12.020]  |void terminationLogic() Method successfully executed within 238 milisecond.
[24 Sep 2020 09:40:14.801]  |void unloadMenu() Method from mouseClicked[BugPanel.java:234] called with [] at 2020-09-24 09:40:14.801
[24 Sep 2020 09:40:14.801]  |void unloadMenu() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:14.801]  |void unloadBugs() Method from mouseClicked[BugPanel.java:235] called with [] at 2020-09-24 09:40:14.801
[24 Sep 2020 09:40:14.801]  |void unloadBugs() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:40:14.801]  |void loadNewBug() Method from mouseClicked[BugPanel.java:236] called with [] at 2020-09-24 09:40:14.801
[24 Sep 2020 09:40:15.141]  |void loadNewBug() Method successfully executed within 340 milisecond.
[24 Sep 2020 09:40:28.721]  |boolean validateBug() Method from actionPerformed[BugPanel.java:343] called with [] at 2020-09-24 09:40:28.721
[24 Sep 2020 09:40:28.723]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [Validation Failed, error, Please upload PROCESS_LOG_2020-09-24.log. It is allways better to upload all log files., Ok, I understood, ] at 2020-09-24 09:40:28.723
[24 Sep 2020 09:40:28.773]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 40 milisecond.
[24 Sep 2020 09:40:28.773]  |boolean validateBug() Method successfully executed within 52 milisecond and returned  false.
[24 Sep 2020 09:40:39.061]  |JButton access$0(BugPanel arg0) Method from actionPerformed[BugPanel.java:438] called with [app.captureEasy.UI.BugPanel@37642ca] at 2020-09-24 09:40:39.061
[24 Sep 2020 09:40:39.061]  |JButton access$0(BugPanel arg0) Method successfully executed within 0 milisecond and returned  javax.swing.JButton[,369,200,30x35,alignmentX=0.0,alignmentY=0.5,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@57f63ffa,flags=296,maximumSize=,minimumSize=,preferredSize=,defaultIcon=javax.swing.ImageIcon@135d18cf,disabledIcon=,disabledSelectedIcon=,margin=javax.swing.plaf.InsetsUIResource[top=2,left=14,bottom=2,right=14],paintBorder=true,paintFocus=true,pressedIcon=,rolloverEnabled=true,rolloverIcon=,rolloverSelectedIcon=,selectedIcon=,text=,defaultCapable=true].
[24 Sep 2020 09:40:47.573]  |boolean validateBug() Method from actionPerformed[BugPanel.java:343] called with [] at 2020-09-24 09:40:47.573
[24 Sep 2020 09:40:47.574]  |boolean validateBug() Method successfully executed within 1 milisecond and returned  true.
[24 Sep 2020 09:40:47.574]  |int submitBug() Method from actionPerformed[BugPanel.java:344] called with [] at 2020-09-24 09:40:47.574
[24 Sep 2020 09:40:47.574]  |	 int getUniqueId() Method from submitBug[BugPanel.java:579] called with [] at 2020-09-24 09:40:47.574
[24 Sep 2020 09:40:47.577]  |	 int getUniqueId() Method successfully executed within 3 milisecond and returned  24360.
[24 Sep 2020 09:40:47.578]  |	 StringBuilder HttpPost(String URL,HashMap headers,String body) Method from submitBug[BugPanel.java:586] called with [https://api.github.com/repos/souvik-sarkar-98/CaptureEasy/issues, {Accept=application/vnd.github.v3+json}, {"title":"oks","body":"-><b>User Id<\/b>: 24360\n-><b>App Version<\/b>: V_0.7\n-><b>Area<\/b>: Launch\n-><b>Description<\/b>: jsahjdsh\nhhksd\nksahkd\n"}] at 2020-09-24 09:40:47.577
[24 Sep 2020 09:40:47.580]  |	 StringBuilder HttpPost(String URL,HashMap headers,String body) Method successfully executed within 3 milisecond and returned  .
[24 Sep 2020 09:40:47.580]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [ERROR, error, org.json.JSONException Occured. Please try again.

If still not resolved then 'Report a Bug' from Feature Menu., Ok, I understood, ] at 2020-09-24 09:40:47.58
[24 Sep 2020 09:40:47.634]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 54 milisecond.
[24 Sep 2020 09:40:47.634]  |int submitBug() Method successfully executed within 60 milisecond and returned  0.
[24 Sep 2020 09:56:27.192]  |void initAppProperty(JSONObject JSONObj) Method from initialize[SharedResources.java:54] called with [null] at 2020-09-24 09:56:27.152
[24 Sep 2020 09:56:27.292]  |void initAppProperty(JSONObject JSONObj) Method successfully executed within 130 milisecond.
[24 Sep 2020 09:56:27.292]  |void launch() Method from <init>[Application.java:69] called with [] at 2020-09-24 09:56:27.292
[24 Sep 2020 09:56:27.302]  |	 boolean IsEmpty(String Path) Method from launch[Application.java:92] called with [<User Directory>\Resources\<Username>\Temp\320617908] at 2020-09-24 09:56:27.302
[24 Sep 2020 09:56:27.312]  |	 boolean IsEmpty(String Path) Method successfully executed within 10 milisecond and returned  true.
[24 Sep 2020 09:56:27.335]  |	 void SensorGUIInit() Method from <init>[SensorGUI.java:85] called with [] at 2020-09-24 09:56:27.335
[24 Sep 2020 09:56:27.795]  |	 void SensorGUIInit() Method successfully executed within 460 milisecond.
[24 Sep 2020 09:56:27.805]  |void launch() Method successfully executed within 513 milisecond.
[24 Sep 2020 09:56:27.815]  |void clearFilesTask() Method from run[Application.java:137] called with [] at 2020-09-24 09:56:27.815
[24 Sep 2020 09:56:27.925]  |	 void removeTempFiles(File dir,long min) Method from clearFilesTask[Library.java:799] called with [<User Directory>\Resources\<Username>\Temp\320617908, 30] at 2020-09-24 09:56:27.925
[24 Sep 2020 09:56:27.925]  |	 void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:56:27.925]  |	 void removeTempFiles(File dir,long min) Method from clearFilesTask[Library.java:799] called with [<User Directory>\Resources\<Username>\Temp\ExtractedImages, 30] at 2020-09-24 09:56:27.925
[24 Sep 2020 09:56:27.925]  |	 void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:56:27.955]  |void clearFilesTask() Method successfully executed within 140 milisecond.
[24 Sep 2020 09:56:32.273]  |void ActionGUIInit(List tabs) Method from <init>[ActionGUI.java:74] called with [[Bug]] at 2020-09-24 09:56:32.273
[24 Sep 2020 09:56:32.483]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method from <init>[BugPanel.java:95] called with [javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@4c8d98db,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]] at 2020-09-24 09:56:32.483
[24 Sep 2020 09:56:32.483]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:56:32.492]  |	 void stateChanged(ChangeEvent arg0) Method from fireStateChanged[null:-1] called with [javax.swing.event.ChangeEvent[source=javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@4c8d98db,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]]] at 2020-09-24 09:56:32.492
[24 Sep 2020 09:56:32.492]  |	 	 void loadMenu() Method from stateChanged[ActionGUI.java:561] called with [] at 2020-09-24 09:56:32.492
